name,square_meter,bedroom_no,price,street,area,district
"Cho thuê gấp căn hộ chung cư Hoàng Cầu Skyline, 100m2, 2PN, đủ đồ, view hồ, chỉ 15tr/tháng", 100 m,2 phòng ngủ, 15 triệu / tháng,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa
"(Siêu Rẻ) Chính chủ cho thuê CHCC Eco Green Nguyễn Xiển, 03PN, full đồ 12tr/tháng", 100 m,3 phòng ngủ, 12 triệu / tháng,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì
"Căn hộ cao cấp Mỹ Đình Pearl cực đẹp, 80m2, 2PN view bể bơi, chỉ 11 tr/ tháng", 80 m,2 phòng ngủ, 11 triệu / tháng,Đường Châu Văn Liêm,Phường Phú Đô,Quận Nam Từ Liêm
"Cho thuê căn hộ Chung cư HinodeCity- 201 Minh Khai, Quận Hai Bà Trưng, Hà Nội", 80 m,2 phòng ngủ, 25 triệu / tháng,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng
"Cho thuê căn hộ Chung cư Skylight- 129 D Minh khai, Q Hai Bà Trưng, Hà Nội.", 97 m,2 phòng ngủ, 11 triệu / tháng,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng
"CHÍNH CHỦ CHO THUÊ CĂN HỘ IMPERIA GARDEN 203 NGUYỄN HUY TƯỞNG, FULL ĐỒ CAO CẤP", 90 m,2 phòng ngủ, 5 triệu / tháng,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Cho thuê chung cư Golen West Lê Văn Lương 90m2, đẹp, làm văn phòng chỉ 9.5tr/th", 90 m,2 phòng ngủ," 9,5 triệu / tháng",Đường Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân
"VĂN PHÒNG MẶT PHỐ 468 THỤY KHUÊ ,TÂY HỒ 125m2 x 7T, Mặt tiền : 5m2", 125 m,2 phòng ngủ, 12 triệu / tháng,Đường Thụy Khuê,Phường Thụy Khuê,Quận Tây Hồ
"cho thuê căn hộ 2-3pn dt 75-96m2 chung cư 90 nguyễn tuân, thanh xuân.", 75 m,2 phòng ngủ, 8 triệu / tháng,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân
"cho thuê căn hộ 3pn chung cư smile building, số 1 nguyễn cảnh dị, hoàng mai.", 95 m,3 phòng ngủ, 11 triệu / tháng,Đường Nguyễn Cảnh Dị,Phường Đại Kim,Quận Hoàng Mai
"cho thuê căn hộ 3pn đủ đồ chung cư new horizon, 87 lĩnh nam, hoàng mai.", 96 m,3 phòng ngủ, 11 triệu / tháng,Đường Lĩnh Nam,Phường Mai Động,Quận Hoàng Mai
"Cho thuê gấp căn hộ cao cấp, vị trí đẹp tại tòa nhà Hồ Gươm Plaza – 110 Trần Phú - Hà Đông", 120 m,3 phòng ngủ, 11 triệu / tháng,Phường Mộ Lao,Quận Hà Đông,
"Cho thuê căn hộ tại Ngọc Khánh Plaza - Số 1 Pham Huy Thông, 111m2, 2PN, đủ đồ giá 15 triệu", 111 m,2 phòng ngủ, 15 triệu / tháng,Phố Phạm Huy Thông,Phường Ngọc Khánh,Quận Ba Đình
Đang có nhiều CHCC cao cấp cho thuê tại Gold Season 47 Nguyễn Tuân 2-3P.N giá từ 10tr/th, 65 m,2 phòng ngủ, 10 triệu / tháng,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Giá chuẩn...Cho thuê gấp CHCC Ecolife Capitol Tố Hữu 2 ngủ, đồ cơ bản giá 10tr/tháng", 75 m,2 phòng ngủ, 10 triệu / tháng,Đường Tố Hữu,Phường Mễ Trì,Quận Nam Từ Liêm
"cho thuê căn hộ chung cư tòa nhà Home City, phố Trung Kính, S: 70m2, 2pn, full đồ, 13.5 tr", 70 m,2 phòng ngủ," 13,5 triệu / tháng",Phố Trung Kính,Phường Trung Hòa,Quận Cầu Giấy
"Cho thuê căn hộ chung cư Platinum số 6 Nguyễn Công Hoan, Ba Đình 110m2, 3PN, giá 16tr/th", 110 m,3 phòng ngủ, 16 triệu / tháng,Phố Nguyễn Công Hoan,Phường Giảng Võ,Quận Ba Đình
Cho thuê căn hộ mini Phố Huế - Hàng Bài full đồ mới 100%, 35 m,1 phòng ngủ, 6 triệu / tháng,Phố Huế,Phường Hàng Bài,Quận Hoàn Kiếm
"CHO THUÊ CĂN HỘ ĐỦ ĐỒ MỚI PHƯỜNG NAM ĐỒNG XÃ ĐÀN. 4 - 5,5tr/th", 35 m,1 phòng ngủ, 5 triệu / tháng,Đường Xã Đàn 2,Phường Nam Đồng,Quận Đống Đa
"Chung cư cho thuê ngắn hạn hoặc dài hạn , đủ đồ, 40m2, sạch sẽ, ở Hoàng Đạo Thúy", 40 m,1 phòng ngủ," 6,5 triệu / tháng",Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy
"Chung cư đủ đồ, 1PN, 1PK 50m2, nội thất hiện đại , thoáng giá cực tốt ở Trần Văn Lai", 50 m,1 phòng ngủ, 9 triệu / tháng,Đường Trần Văn Lai,Phường Mỹ Đình 1,Quận Nam Từ Liêm
"Cho thuê chung cu 36 liên cơ(Nguyễn cơ thạch) Nam Từ Liêm  , Hà Nội", 48 m,1 phòng ngủ, 5 triệu / tháng,Đường Liên Cơ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Star City Lê Văn Lương cần cho thuê căn hộ chung cư 2P ngủ đầy đủ đồ cao cấp., 107 m,2 phòng ngủ, 18 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
Eco Green City 268 Nguyễn Xiển cần cho thuê căn hộ chung cư mới cao cấp vào ở ngay., 75 m,2 phòng ngủ, 8 triệu / tháng,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì
Cho thuê căn hộ chung cư mới cao cấp Ecolife Capitol 2P ngủ full đồ .Giá: 12tr/th., 76 m,2 phòng ngủ, 12 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
Cho thuê chung cư mới cao cấp Goldseason 47 Nguyễn Tuân 2P - 3P ngủ .Giá: 10tr/th., 65 m,2 phòng ngủ, 10 triệu / tháng,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân
Cho thuê căn hộ chung cư Golden Field Mỹ Đình 2P ngủ đầy đủ đồ mới.Giá: 12tr/th., 74 m,2 phòng ngủ, 12 triệu / tháng,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Cho thuê chung cư Mỹ Đình Plaza 2 Nguyễn Hoàng 2P ngủ đầy đủ nội thất cao cấp., 76 m,2 phòng ngủ, 14 triệu / tháng,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Chung cư Mon City Mỹ Đình cần cho thuê căn hộ chung cư 2P ngủ đồ cơ bản vào ở ngay., 53 m,2 phòng ngủ, 10 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Sun Square 21 Lê Đức Thọ Mỹ Đình cần cho thuê gấp căn hộ chung cư 2P ngủ đầy đủ đồ., 90 m,2 phòng ngủ, 13 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Cho thuê chung cư Mon City Mỹ Đình 3P ngủ đầy đủ nội thất vào ở ngay.Giá: 13tr/th., 86 m,3 phòng ngủ, 13 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Cho thuê chung cư Central Field 219 Trung Kính 2P ngủ đầy đủ đồ đẹp ở ngay.Giá: 14tr/th, 70 m,2 phòng ngủ, 14 triệu / tháng,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy
Goldmark City 136 Hồ Tùng Mậu CẦn cho thuê căn hộ 3P ngủ đủ đồ đẹp như khách sạn 5 sao, 110 m,3 phòng ngủ," 23,5 triệu / tháng",Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm
Cho thuê chung cư cao cấp Ecolife Capitol 58 Tố Hữu 3P ngủ đầy đủ nội thất.Giá: 14tr/th., 111 m,3 phòng ngủ, 14 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
Chung cư cao cấp Vinhome Gardenia cần cho thuê căn hộ cao cấp 2P ngủ đầy đủ nội thất., 80 m,2 phòng ngủ, 19 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
Chung cư Vinhome Gardenia Mỹ Đình cần cho thuê căn hộ 2P ngủ đầy đủ đồ. Giá: 17tr/th., 75 m,2 phòng ngủ, 17 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
Chung cư Golden West Lê Văn Thiêm cần cho thuê căn hộ 2P ngủ đầy đủ đồ vào ở ngay., 76 m,2 phòng ngủ, 13 triệu / tháng,Đường Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân
Chung cư Eco Green City 286 Nguyễn Xiển cho thuê căn hộ 2P ngủ đầy đủ nội thất., 67 m,2 phòng ngủ, 11 triệu / tháng,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì
Cho thuê chung cư Vimeco Nguyễn Chánh 2P ngủ đầy đủ đồ cao cấp vào ở ngay., 88 m,2 phòng ngủ," 12,5 triệu / tháng",Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy
Chung cư C37 Bắc Hà đường Tố Hữu cần cho thuê căn hộ 3P ngủ đầy đủ nội thất., 120 m,3 phòng ngủ, 14 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
Chung cư Meco 102 Trường Chinh cho thuê căn hộ 3P ngủ đồ cơ bản nhận nhà ngay., 120 m,3 phòng ngủ, 12 triệu / tháng,Đường Trường Chinh,Phường Phương Mai,Quận Đống Đa
Vinhome Gardenia Mỹ Đình cần cho thuê căn hộ 2P ngủ đầy đủ nội thất đẹp vào ở ngay., 57 m,2 phòng ngủ, 15 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
Chung cư 17T11 Nguyễn Thị Định cần cho thuê căn hộ 2P ngủ đầy đủ đồ vào ở ngay, 70 m,2 phòng ngủ, 10 triệu / tháng,Đường Nguyễn Thị Định,Phường Trung Hòa,Quận Cầu Giấy
Chung cư cao cấp Vinhome Gardenia 2P ngủ đầy đủ đồ cao cấp vào ở ngay.Giá: 15tr/th., 80 m,2 phòng ngủ, 15 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
"Cho thuê chung cư N01 Yên Hòa đường Trần Kim Xuyến, 2P ngủ đầy đủ đồ.Giá: 10tr/th", 79 m,2 phòng ngủ, 10 triệu / tháng,Đường Trần Kim Xuyến,Phường Yên Hòa,Quận Cầu Giấy
"Cho thuê chung cư C37 Bắc Hà 2P ngủ, vào ở ngay, làm văn phòng hoặc để ở.", 80 m,2 phòng ngủ," 9,5 triệu / tháng",Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
"Cho thuê chung cư Star City Lê Văn Lương 3P ngủ đầy đủ nội thất, vào ở ngay.", 115 m,3 phòng ngủ, 15 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
"Cho thuê chung cư An Lạc đường Hoàng Ngân 2P ngủ đầy đủ nội thất, vào ở ngay.", 60 m,2 phòng ngủ, 9 triệu / tháng,Phố Hoàng Ngân,Phường Trung Hòa,Quận Cầu Giấy
"Cho thuê chung cư 173 Xuân Thủy 2P ngủ, vào ở ngay.", 90 m,2 phòng ngủ," 10,5 triệu / tháng",Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy
Chung cư Goldseson 47 Nguyễn Tuân cần cho thuê căn hộ mới cao cấp đầy đủ nội thất., 74 m,2 phòng ngủ, 14 triệu / tháng,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân
Chung cư CT3A Mễ Trì Thượng cho thuê căn hộ 2:P ngủ diện tích 106m² vào ở ngay., 106 m,2 phòng ngủ," 8,5 triệu / tháng",Đường Đại Lộ Thăng Long,Phường Mễ Trì,Quận Nam Từ Liêm
"Cho thuê chung cư C14 BCA đường Tố Hữu 2PN đầy đủ nội thất, vào ở ngay.", 70 m,2 phòng ngủ, 8 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
"Cho thuê chung cư FLC Landmark Tower Lê Đức Thọ 3P ngủ, nhận nhà ngay.", 124 m,3 phòng ngủ, 10 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Chung cư Hei Tower Điện Lực số 1 Ngụy Như Kon Tum cho thuê căn hộ 3P ngủ, đầy đủ nội thất.", 105 m,3 phòng ngủ," 13,5 triệu / tháng",Phố Ngụy Như Kon Tum,Phường Nhân Chính,Quận Thanh Xuân
Chung cư Sun Square 21 Lê Đức Thọ cần cho thuê căn hộ 2P ngủ đầy đủ nội thất đẹp., 86 m,2 phòng ngủ, 13 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Chung cư mới cao cấp FLC Twin 265 Cầu Giấy cần cho thuê căn hộ chung cư 2P ngủ, vào ở ngay", 97 m,2 phòng ngủ, 13 triệu / tháng,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy
"Chung cư Sông Hồng Park View 165 Thái Hà cần cho thuê căn hộ 3PN , vào ở ngay.", 102 m,3 phòng ngủ, 12 triệu / tháng,Phố Thái Hà,Phường Láng Hạ,Quận Đống Đa
Chung cư FLC Landmark Lê Đức Thọ cần cho thuê căn hộ 3PN đầy đủ nội thất đẹp vào ở ngay, 159 m,3 phòng ngủ, 11 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư C14 BCA đường Tố Hữu 3PN đầy đủ nội thất, vào ở ngay.", 100 m,3 phòng ngủ, 11 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
"Chung cư FLC Twin 265 Cầu Giấy cần cho thuê căn hộ 2P ngủ, vào ở ngay.", 97 m,2 phòng ngủ, 13 triệu / tháng,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy
Cần cho thuê chung cư mới cao cấp Season Avenua 2P ngủ đầy đủ đồ đẹp cao cấp., 70 m,2 phòng ngủ, 12 triệu / tháng,Đường Nguyễn Văn Lộc,Phường Mộ Lao,Quận Hà Đông
"Cho thuê căn hộ Duplex chung cư Vihome Gardenia 3P ngủ đầy đủ nội thất đẹp, vào ở ngay", 110 m,3 phòng ngủ, 30 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
"Chung cư Mỹ Đình Pearl Châu Văn Liêm Mỹ Đình 2P ngủ đầy đủ nội thất, vào ở ngay.", 80 m,2 phòng ngủ, 16 triệu / tháng,Đường Châu Văn Liêm,Phường Mễ Trì,Quận Nam Từ Liêm
Cần cho thuê chung cư Imperia Garden 203 Nguyễn Huy Tưởng 2P ngủ đầy đủ nội thất., 86 m,2 phòng ngủ, 16 triệu / tháng,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Mon Ctiy Hàm Nghi Mỹ Đình cho thuê căn hộ 2P ngủ đầy đủ đồ, vào ở ngay.", 54 m,2 phòng ngủ," 11,5 triệu / tháng",Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư CT1 Mỹ Đình Sông Đà 2P ngủ đầy đủ nội thất, vào ở ngay.", 90 m,2 phòng ngủ, 12 triệu / tháng,Đường Vũ Quỳnh,Phường Mỹ Đình 1,Quận Nam Từ Liêm
Cho thuê chung cư cao cấp Mon City Hàm Nghi Mỹ Đình 2PN đầy đủ đồ.Giá: 10tr/th., 67 m,2 phòng ngủ, 10 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cần cho thuê chung cư Royal City Nguyễn Trãi 2P ngủ đầy đủ đồ tân cổ điển đẹp, vào ở ngay.", 134 m,2 phòng ngủ, 22 triệu / tháng,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân
Cho thuê chung cư 24T1 Trung Hòa Nhân Chính đường Hoàng Đạo Thúy 2P ngủ đầy đủ đồ., 120 m,2 phòng ngủ, 14 triệu / tháng,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy
"Chung cư CT1 Mỹ Đình Sông Đà cần cho thuê căn hộ 2P ngủ đầy đủ đồ đẹp, vào ở ngay", 90 m,2 phòng ngủ, 12 triệu / tháng,Đường Trần Văn Lai,Phường Mỹ Đình 1,Quận Nam Từ Liêm
Cho thuê chung cư Sun Square 21 Lê Đức Thọ 3P ngủ đầy đủ nội thất., 103 m,3 phòng ngủ, 15 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư 173 Xuân Thủy 3P ngủ đầy đủ nội thất, vào ở ngay.", 110 m,3 phòng ngủ," 11,5 triệu / tháng",Đường Xuân Thủy,Phường Xuân Thủy,Quận Cầu Giấy
Cho thuê chung cư Sun Square 21 Lê Đức Thọ 3P ngủ đầy đủ nội thất cao cấp., 115 m,3 phòng ngủ, 16 triệu / tháng,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm
Cho thuê chung cư mới cao cấp Golden Field Hàm Nghi Mỹ Đình 2P ngủ đầy đủ nội thất., 75 m,2 phòng ngủ, 13 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư Golden West số 2 Lê Văn Thiêm 2P ngủ, đồ cơ bản.", 82 m,2 phòng ngủ, 11 triệu / tháng,Đường Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân
Cho thuê chung cư Vinhome Gardenia Hàm Nghi Mỹ Đình 2P ngủ đầy đủ đồ đẹp.Giá: 16tr/th, 60 m,2 phòng ngủ, 16 triệu / tháng,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm
"Cho thuê chung cư C14 Bộ Công An đường Tố Hữu 3P ngủ đầy đủ đồ đẹp, vào ở ngay", 100 m,3 phòng ngủ, 10 triệu / tháng,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm
Chung cư Hei Tower cần cho thuê căn hộ 163m² thích hợp làm văn phòng hoặc để ở., 163 m,4 phòng ngủ, 17 triệu / tháng,Phố Ngụy Như Kon Tum,Phường Nhân Chính,Quận Thanh Xuân
Cần cho thuê chung cư mới cao cấp The Golden Palm Lê Văn Lương 2P ngủ đầy đủ đồ., 85 m,2 phòng ngủ, 15 triệu / tháng,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân
"Cho thuê căn hộ cao cấp Imperia Garden, Nguyễn Huy Tưởng, chỉ 15tr", 86 m,2 phòng ngủ, 15 triệu / tháng,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Cho thuê chung cư D'capitale Trần Duy Hưng, Cầu Giấy,2 PN, tầng trung view công viên", 60 m,2 phòng ngủ, 14 triệu / tháng,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy
"Goldmark City,2 phòng ngủ, full nội thất đẹp, đầy đủ tiện ích chỉ 11,5 triệu.", 84 m,2 phòng ngủ," 11,5 triệu / tháng",Đường Hồ Tùng Mậu,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê căn hộ Goldmark City Hồ Tung Mậu, 85m2, 2 PN nhà mới rẻ đẹp", 85 m,2 phòng ngủ, 12 triệu / tháng,Đường Hồ Tùng Mậu,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê căn hộ Golden field quận Nam Từ Liêm, 90m2, chỉ 12 triệu", 90 m,2 phòng ngủ, 12 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê căn hộ Sakura Tower 47 quận Thanh Xuân,85m2, 12 triệu", 85 m,3 phòng ngủ, 12 triệu / tháng,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân
"Cho thuê căn hộ Sky Park Tôn Thất Thuyết 90m2, giá chỉ 15tr", 90 m,2 phòng ngủ, 15 triệu / tháng,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy
"Cho thuê căn hộ Mỹ Đình Plaza 2, Trần Bình, Nam Từ Liêm, 108m2 chỉ 12 triệu", 108 m,3 phòng ngủ, 12 triệu / tháng,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư Hồ Gươm Plaza, phòng đẹp giá rẻ bất ngờ", 70 m,2 phòng ngủ, 9 triệu / tháng,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông
"Cho thuê căn hộ HD Mon City, 2 PN rẻ đẹp", 70 m,2 phòng ngủ, 12 triệu / tháng,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm
"Cho thuê chung cư 17T4 Hoàng Đạo Thúy, 120m2 chỉ 13 triêu", 120 m,2 phòng ngủ, 13 triệu / tháng,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy
